LAST SEEN   TYPE      REASON              OBJECT                                 MESSAGE
16m         Normal    Pulling             pod/load-generator-55c4597646-8bpz7    Pulling image "alexeiled/stress-ng:latest"
16m         Normal    ScalingReplicaSet   deployment/load-generator              Scaled up replica set load-generator-55c4597646 from 5 to 6
16m         Normal    Started             pod/load-generator-55c4597646-gd62z    Container started
16m         Normal    ScalingReplicaSet   deployment/load-generator              Scaled down replica set load-generator-bd586c8df from 8 to 7
16m         Normal    Created             pod/load-generator-55c4597646-gd62z    Container created
16m         Normal    Pulled              pod/load-generator-55c4597646-gd62z    Successfully pulled image "alexeiled/stress-ng:latest" in 139ms (337ms including waiting). Image size: 3939132 bytes.
16m         Normal    Pulling             pod/load-generator-55c4597646-gd62z    Pulling image "alexeiled/stress-ng:latest"
16m         Normal    Started             pod/load-generator-55c4597646-g5bcd    Container started
16m         Normal    NotTriggerScaleUp   pod/load-generator-55c4597646-mwnvv    Pod didn't trigger scale-up:
16m         Normal    Killing             pod/load-generator-bd586c8df-jpvbv     Stopping container stressor
16m         Normal    SuccessfulDelete    replicaset/load-generator-bd586c8df    Deleted pod: load-generator-bd586c8df-jpvbv
16m         Normal    Pulled              pod/load-generator-55c4597646-g5bcd    Successfully pulled image "alexeiled/stress-ng:latest" in 155ms (155ms including waiting). Image size: 3939132 bytes.
16m         Normal    Pulling             pod/load-generator-55c4597646-2cj5g    Pulling image "alexeiled/stress-ng:latest"
16m         Normal    Pulled              pod/load-generator-55c4597646-2cj5g    Successfully pulled image "alexeiled/stress-ng:latest" in 205ms (206ms including waiting). Image size: 3939132 bytes.
16m         Normal    Created             pod/load-generator-55c4597646-2cj5g    Container created
16m         Normal    Started             pod/load-generator-55c4597646-2cj5g    Container started
16m         Normal    Pulling             pod/load-generator-55c4597646-g5bcd    Pulling image "alexeiled/stress-ng:latest"
16m         Normal    Pulled              pod/load-generator-55c4597646-8bpz7    Successfully pulled image "alexeiled/stress-ng:latest" in 202ms (202ms including waiting). Image size: 3939132 bytes.
16m         Normal    Created             pod/load-generator-55c4597646-8bpz7    Container created
16m         Normal    Started             pod/load-generator-55c4597646-8bpz7    Container started
16m         Normal    SuccessfulCreate    replicaset/load-generator-55c4597646   Created pod: load-generator-55c4597646-mwnvv
16m         Normal    Pulled              pod/load-generator-55c4597646-mwnvv    Successfully pulled image "alexeiled/stress-ng:latest" in 128ms (128ms including waiting). Image size: 3939132 bytes.
16m         Normal    SuccessfulCreate    replicaset/load-generator-55c4597646   Created pod: load-generator-55c4597646-hfjrx
16m         Normal    SuccessfulDelete    replicaset/load-generator-bd586c8df    Deleted pod: load-generator-bd586c8df-5sgjr
16m         Normal    SuccessfulDelete    replicaset/load-generator-bd586c8df    Deleted pod: load-generator-bd586c8df-ff58r
16m         Normal    Killing             pod/load-generator-bd586c8df-5sgjr     Stopping container stressor
16m         Normal    Pulling             pod/load-generator-55c4597646-mwnvv    Pulling image "alexeiled/stress-ng:latest"
16m         Normal    Created             pod/load-generator-55c4597646-mwnvv    Container created
16m         Normal    SuccessfulCreate    replicaset/load-generator-55c4597646   Created pod: load-generator-55c4597646-vd6pk
16m         Normal    SuccessfulDelete    replicaset/load-generator-bd586c8df    Deleted pod: load-generator-bd586c8df-6ll2k
16m         Normal    SuccessfulDelete    replicaset/load-generator-bd586c8df    Deleted pod: load-generator-bd586c8df-qp59j
16m         Normal    NotTriggerScaleUp   pod/load-generator-55c4597646-hfjrx    Pod didn't trigger scale-up:
16m         Normal    Started             pod/load-generator-55c4597646-mwnvv    Container started
16m         Normal    Killing             pod/load-generator-bd586c8df-ff58r     Stopping container stressor
16m         Normal    Pulled              pod/load-generator-55c4597646-hfjrx    Successfully pulled image "alexeiled/stress-ng:latest" in 134ms (134ms including waiting). Image size: 3939132 bytes.
16m         Normal    NotTriggerScaleUp   pod/load-generator-55c4597646-k49mw    Pod didn't trigger scale-up:
16m         Normal    Pulled              pod/load-generator-55c4597646-vd6pk    Successfully pulled image "alexeiled/stress-ng:latest" in 120ms (120ms including waiting). Image size: 3939132 bytes.
16m         Normal    Created             pod/load-generator-55c4597646-hfjrx    Container created
16m         Normal    Started             pod/load-generator-55c4597646-hfjrx    Container started
16m         Normal    Pulling             pod/load-generator-55c4597646-vd6pk    Pulling image "alexeiled/stress-ng:latest"
16m         Normal    Killing             pod/load-generator-bd586c8df-6ll2k     Stopping container stressor
16m         Normal    SuccessfulCreate    replicaset/load-generator-55c4597646   (combined from similar events): Created pod: load-generator-55c4597646-hwkcb
16m         Normal    Pulling             pod/load-generator-55c4597646-hfjrx    Pulling image "alexeiled/stress-ng:latest"
16m         Normal    NotTriggerScaleUp   pod/load-generator-55c4597646-hwkcb    Pod didn't trigger scale-up:
16m         Normal    Killing             pod/load-generator-bd586c8df-qp59j     Stopping container stressor
16m         Normal    SuccessfulCreate    replicaset/load-generator-55c4597646   Created pod: load-generator-55c4597646-k49mw
16m         Normal    Started             pod/load-generator-55c4597646-vd6pk    Container started
16m         Normal    SuccessfulDelete    replicaset/load-generator-bd586c8df    Deleted pod: load-generator-bd586c8df-tnkds
16m         Normal    Created             pod/load-generator-55c4597646-vd6pk    Container created
16m         Normal    Pulling             pod/load-generator-55c4597646-k49mw    Pulling image "alexeiled/stress-ng:latest"
16m         Normal    Killing             pod/load-generator-bd586c8df-9mms6     Stopping container stressor
16m         Normal    SuccessfulDelete    replicaset/load-generator-bd586c8df    Deleted pod: load-generator-bd586c8df-9mms6
16m         Normal    Killing             pod/load-generator-bd586c8df-tnkds     Stopping container stressor
16m         Normal    Started             pod/load-generator-55c4597646-k49mw    Container started
