LAST SEEN   TYPE      REASON              OBJECT                                 MESSAGE
9m54s       Normal    ScalingReplicaSet   deployment/load-generator              Scaled up replica set load-generator-55c4597646 from 0 to 3
9m54s       Normal    Scheduled           pod/load-generator-55c4597646-2j76w    Successfully assigned research-workload/load-generator-55c4597646-2j76w to gke-research-autoscaler-default-pool-cc6226da-q6sy
9m54s       Normal    ScalingReplicaSet   deployment/load-generator              Scaled down replica set load-generator-bd586c8df from 10 to 8
9m54s       Normal    Killing             pod/load-generator-bd586c8df-dflmd     Stopping container stressor
9m53s       Normal    Scheduled           pod/load-generator-55c4597646-m6hcp    Successfully assigned research-workload/load-generator-55c4597646-m6hcp to gke-research-autoscaler-default-pool-cc6226da-q6sy
9m53s       Normal    Pulling             pod/load-generator-55c4597646-4xjck    Pulling image "alexeiled/stress-ng:latest"
9m53s       Normal    Pulling             pod/load-generator-55c4597646-2j76w    Pulling image "alexeiled/stress-ng:latest"
9m52s       Normal    Started             pod/load-generator-55c4597646-4xjck    Container started
9m52s       Normal    Pulling             pod/load-generator-55c4597646-62lbh    Pulling image "alexeiled/stress-ng:latest"
9m52s       Normal    Pulling             pod/load-generator-55c4597646-p82b9    Pulling image "alexeiled/stress-ng:latest"
9m52s       Normal    Pulled              pod/load-generator-55c4597646-p82b9    Successfully pulled image "alexeiled/stress-ng:latest" in 213ms (213ms including waiting). Image size: 3939132 bytes.
9m52s       Normal    Created             pod/load-generator-55c4597646-4xjck    Container created
9m52s       Normal    Started             pod/load-generator-55c4597646-m6hcp    Container started
9m52s       Normal    Pulled              pod/load-generator-55c4597646-4xjck    Successfully pulled image "alexeiled/stress-ng:latest" in 211ms (211ms including waiting). Image size: 3939132 bytes.
9m52s       Normal    Pulling             pod/load-generator-55c4597646-m6hcp    Pulling image "alexeiled/stress-ng:latest"
9m52s       Normal    Created             pod/load-generator-55c4597646-p82b9    Container created
9m52s       Normal    Pulled              pod/load-generator-55c4597646-62lbh    Successfully pulled image "alexeiled/stress-ng:latest" in 230ms (231ms including waiting). Image size: 3939132 bytes.
9m52s       Normal    Created             pod/load-generator-55c4597646-2j76w    Container created
9m52s       Normal    Started             pod/load-generator-55c4597646-p82b9    Container started
9m52s       Normal    Pulled              pod/load-generator-55c4597646-2j76w    Successfully pulled image "alexeiled/stress-ng:latest" in 265ms (265ms including waiting). Image size: 3939132 bytes.
9m52s       Normal    Pulled              pod/load-generator-55c4597646-m6hcp    Successfully pulled image "alexeiled/stress-ng:latest" in 218ms (218ms including waiting). Image size: 3939132 bytes.
9m52s       Normal    Created             pod/load-generator-55c4597646-m6hcp    Container created
9m52s       Normal    Started             pod/load-generator-55c4597646-2j76w    Container started
